a52dec 0.7.4-8
aalib 1.4rc5-11
accountsservice 0.6.40-2
acl 2.2.52-2
acpi 1.7-1
adwaita-icon-theme 3.18.0-1
alsa-lib 1.1.1-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.1-1
apache 2.4.18-2
apr 1.5.2-1
apr-util 1.5.4-2
apt 1.2.9-1
arandr 0.1.9-1
archlinux-keyring 20160215-1
asciidoc 8.6.9-2
aspell 0.60.6.1-4
at-spi2-atk 2.18.1-1
at-spi2-core 2.18.3-1
atk 2.18.0-1
atkmm 2.24.2-2
attr 2.4.47-1
audiofile 0.3.6-3
aurvote 1.9-3
autoconf 2.69-2
automake 1.15-1
avahi 0.6.32-2
awesome 3.5.9-1
baobab 3.18.1-1
bar 1.4-5
bash 4.3.042-4
bash-completion 2.1-5
bc 1.06.95-1
binutils 2.26-3
bison 3.0.4-1
bleachbit 1.10-1
bluez 5.39-1
bluez-libs 5.39-1
boost 1.60.0-2
boost-libs 1.60.0-2
bspwm 0.9.1-2
btrfs-progs 4.4.1-1
bzip2 1.0.6-5
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.23-3
ca-certificates-utils 20150402-1
cairo 1.14.6-1
cairomm 1.12.0-2
cantarell-fonts 1:0.0.24-1
caribou 0.4.19-2
cdparanoia 10.2-5
celt 0.11.3-2
cheese 3.18.1-1
chromaprint 1.3.1-1
chromium 51.0.2704.103-1
cifs-utils 6.4-1
clutter 1.24.2-1
clutter-gst 3.0.16-1
clutter-gst2 2.0.16-1
clutter-gtk 1.6.6-1
cmake 3.5.1-1
cmatrix 1.2a-11
cmus 2.7.1-8
cogl 1.22.0-1
colord 1.2.12-1
colord-gtk 0.1.26-2
compositeproto 0.4.2-3
compton 0.1_beta2.5-2
compton-conf-git 0.1.0.34.gb820d84-1
confuse 2.8-2
conky 1.10.1-2
coreutils 8.25-1
cracklib 2.9.4-1
cryptsetup 1.7.1-1
cups-pk-helper 0.2.6-1
curl 7.48.0-1
customizepkg-git 54.18054fc-1
damageproto 1.2.1-3
dash 0.5.8-1
db 5.3.28-3
dbus 1.10.8-1
dbus-glib 0.106-1
dcadec 0.2.0-1
dconf 0.24.0-1
dconf-editor 3.18.2-1
deadbeef 0.7.0-3
desktop-file-utils 0.22-1
device-mapper 2.02.148-1
dfc 3.0.5-1
dhclient 4.3.4-1
dhcpcd 6.10.1-1
diffutils 3.3-2
distcc 3.2rc1-2
djvulibre 3.5.27-2
dkms 2.2.0.3+git151023-9
dmenu 4.6-1
dmxproto 2.3.1-3
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
dotconf 1.3-4
dpkg 1.17.25-1
dzen2 0.9.5git-6
e2fsprogs 1.42.13-1
elfutils 0.165-1
elinks 0.13-16
emojione-color-font 1.2-1
empathy 3.12.11-1
enca 1.18-1
enchant 1.6.0-7
envypn-font 1.7-3
eog 3.18.2-1
epiphany 3.18.5-1
evince 3.18.2-2
evolution-data-server 3.18.5-1
exempi 2.2.2-2
exiv2 0.25-3
exo 0.10.7-1
expat 2.1.1-1
f2fs-tools 1.6.0-1
faac 1.28-5
faad2 2.7-4
fakeroot 1.20.2-1
farstream 0.2.7-1
feh 2.14.2-1
ffmpeg 1:3.0.1-1
ffmpeg0.10 0.10.16-1
ffmpeg2.8 2.8.6-1
fftw 3.3.4-1
file 5.25-1
filesystem 2015.09-1
findutils 4.6.0-1
firefox 47.0-2
fish 2.2.0-5
fixesproto 5.0-3
flac 1.3.1-3
flex 2.6.0-2
fluidsynth 1.1.6-4
folks 0.11.2-1
fontconfig-infinality 2.11.94-2
fontsproto 2.1.3-1
freeglut 3.0.0-1
freetype2-infinality 2.6.2-1
fribidi 0.19.7-1
fuse 2.9.5-1
gambas3-gb-form 3.8.4-2
gambas3-gb-gtk 3.8.4-2
gambas3-gb-image 3.8.4-2
gambas3-runtime 3.8.4-2
gamin 0.1.10-8
garcon 0.4.0-1
gawk 4.1.3-1
gc 7.4.2-4
gcc 5.3.0-5
gcc-libs 5.3.0-5
gconf 3.2.6-3
gcr 3.18.0-1
gd 2.1.1-3
gdbm 1.11-1
gdk-pixbuf2 2.34.0-1
geoclue2 2.4.3-1
geocode-glib 3.18.2-1
gettext 0.19.7-1
ghostscript 9.19-1
giblib 1.2.4-6
giflib 5.1.2-1
git 2.8.0-1
gjs 1.44.0-2
gksu 2.0.2-5
glew 1.13.0-1
glib-networking 2.46.1-1
glib2 2.46.2-4
glibc 2.23-1
glibmm 2.46.3-1
glu 9.0.0-4
gmime 2.6.20-2
gmp 6.1.0-3
gnome-backgrounds 3.18.0-1
gnome-bluetooth 3.18.2-1
gnome-calculator 3.18.3-1
gnome-color-manager 3.18.0-2
gnome-contacts 3.18.1-1
gnome-control-center 3.18.2-1
gnome-desktop 1:3.18.2-1
gnome-dictionary 3.18.1-1
gnome-disk-utility 3.18.3.1-1
gnome-font-viewer 3.16.2-2
gnome-icon-theme 3.12.0-3
gnome-icon-theme-symbolic 3.12.0-3
gnome-keyring 1:3.18.3-1
gnome-menus 3.13.3-2
gnome-online-accounts 3.18.2.1-1
gnome-screenshot 3.18.0-1
gnome-session 3.18.1.2-1
gnome-settings-daemon 3.18.3-1
gnome-shell 3.18.4-1
gnome-shell-extensions 3.18.4-1
gnome-system-log 3.9.90-1
gnome-system-monitor 3.18.2-2
gnome-terminal 3.18.3-1
gnome-themes-standard 3.18.0-1
gnome-user-docs 3.18.1-1
gnome-user-share 3.18.1-1
gnome-video-effects 0.4.1-1
gnupg 2.1.11-1
gnutls 3.4.10-1
gobject-introspection-runtime 1.46.0-1
gom 0.3.2-1
gparted 0.25.0-1
gpgme 1.6.0-2
gpm 1.20.7-6
graphene 1.2.10-1
graphite 1:1.3.8-1
grep 2.24-1
grilo 0.2.15-1
grilo-plugins 0.2.17-1
groff 1.22.3-6
grub 1:2.02.beta2-6
gsettings-desktop-schemas 3.18.1-1
gsfonts 20150811-1
gsm 1.0.14-1
gst-plugins-bad 1.6.3-6
gst-plugins-base 1.6.3-1
gst-plugins-base-libs 1.6.3-1
gst-plugins-good 1.6.3-1
gstreamer 1.6.3-1
